countryID,status,life.expectancy,adult.mortality,infant.deaths,measles,BMI,under.five.deaths,income.composition.of.resources,schooling,continent,sub_region,thin_youth,thin_child
ZG81,Developing,75,142,42,214,56.1,47,0.754,15.2,Americas,South America,Medium,Medium
EM53,Developing,77.7,78,0,4,41.2,0,0.864,14.9,Asia,South-Eastern Asia,High,High
HB76,Developed,74.5,137,0,0,65.7,1,0.792,15,Europe,Eastern Europe,Low,Low
PN39,Developing,59.9,26,38,99,19.4,61,0.399,7.7,Africa,Western Africa,High,High
IO18,Developing,59.6,288,21,9,18.7,31,0.406,10.6,Africa,Eastern Africa,High,High
XN86,Developing,73.3,114,0,0,31.3,0,0.646,13.5,Africa,Western Africa,High,High
EI87,Developing,68.7,174,10,0,19.6,12,0.558,10.9,Asia,South-Eastern Asia,Low,Low
TD74,Developing,57.3,357,45,1809,29,68,0.514,10.4,Africa,Middle Africa,High,High
WT87,Developing,82.2,64,2,195,67,2,0.919,16.3,Americas,Northern America,Low,Low
QS27,Developing,52.5,397,15,150,22.7,21,0.347,7.1,Africa,Middle Africa,High,High
WC69,Developing,53.1,356,46,418,19.1,77,0.394,7.3,Africa,Middle Africa,High,High
PX39,Developing,85,82,2,9,63.8,2,0.845,16.3,Americas,South America,Low,Low
YW13,Developing,76.1,85,157,42361,32.9,183,0.734,13.5,Asia,Eastern Asia,Medium,Medium
DB64,Developing,74.8,143,10,1,57.9,12,0.724,13.6,Americas,South America,Medium,Low
MS53,Developing,63.5,227,1,0,24.2,2,0.498,11.1,Africa,Eastern Africa,High,High
GY45,Developing,64.7,267,7,1359,27.4,10,0.59,11.1,Africa,Middle Africa,High,High
BA83,Developing,79.6,95,1,0,6.5,1,0.775,14.2,Americas,Central America,Low,Low
RV88,Developed,78,95,0,206,63.7,0,0.823,15.3,Europe,Southern Europe,Low,Low
WU69,Developing,79.1,92,1,0,61.4,1,0.773,13.9,Americas,Caribbean,Medium,Medium
FX89,Developed,85,52,0,0,6.3,0,0.854,14.3,Asia,Western Asia,Low,Low
SZ81,Developed,86,71,0,9,58.8,0,0.923,19.2,Europe,Northern Europe,Low,Low
NE26,Developing,63.5,241,1,47,35,1,0.47,6.3,Africa,Eastern Africa,High,High
XP84,Developing,73.9,152,6,0,58.9,7,0.718,13.2,Americas,Caribbean,Medium,Medium
UC31,Developing,76.2,118,6,0,54.2,7,0.739,14,Americas,South America,Low,Low
BR67,Developing,79,159,51,5432,61.1,60,0.688,13.1,Africa,Northern Africa,Medium,Medium
GQ55,Developing,73.5,178,2,0,56.1,2,0.678,13.2,Americas,Central America,Low,Low
ZC53,Developing,58.2,32,3,1250,24.5,4,0.582,9.2,Africa,Middle Africa,High,High
ZT44,Developing,64.7,255,5,198,18.6,7,0.418,5,Africa,Eastern Africa,High,High
